name,status,family1,family2,family3
Batak Karo,vulnerable,Austronesian,Malayo-Polynesian,Northwest Sumatra-Barrier Islands
Bobot,vulnerable,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Batak Alas-Kluet,safe,Austronesian,Malayo-Polynesian,Northwest Sumatra-Barrier Islands
Bua,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Kibosy Kiantalaotsy-Majunga,vulnerable,Austronesian,Malayo-Polynesian,Basap-Greater Barito
Ntcham,safe,Atlantic-Congo,Volta-Congo,North Volta-Congo
Bushoong,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Buginese,safe,Austronesian,Malayo-Polynesian,South Sulawesi
Younuo Bunu,definitely endangered,Hmong-Mien,Hmongic,Paheng
Bongili,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Basa-Gurmana,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Bugawac,definitely endangered,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Bulgarian,definitely endangered,Indo-European,Balto-Slavic,Slavic
Bulu (Cameroon),safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Sherbro,extinct,Atlantic-Congo,Mel,Southern Mel
Terei,safe,South Bougainville,Buin,-
Busoa,definitely endangered,Austronesian,Malayo-Polynesian,Celebic
Brem,safe,Nuclear Trans New Guinea,Madang,Croisilles
Bokobaru,safe,Mande,Eastern Mande,Bisa-Busa
Bungain,definitely endangered,Nuclear Torricelli,Marienberg,-
Budu,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Bun,definitely endangered,Yuat,Miyak-Bun-Biwat,Bun-Mundukumo
Bubi,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Boghom,safe,Afro-Asiatic,Chadic,West Chadic
Bullom So,severely endangered,Atlantic-Congo,Mel,Southern Mel
Bukwen,safe,Atlantic-Congo,Volta-Congo,Benue-Congo
Barain,definitely endangered,Afro-Asiatic,Chadic,East Chadic
Bube,severely endangered,Atlantic-Congo,Volta-Congo,Benue-Congo
Baelelea,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Baeggu,safe,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
Berau Malay,safe,Austronesian,Malayo-Polynesian,Malayo-Sumbawan
Boor,severely endangered,Afro-Asiatic,Chadic,East Chadic
